Node,SFC ID,VNF Type,VNF Priority,VNF CPU Percentage,VNF Storage Percentage,Satisfaction Score
Taiyuan,7,Load Balancer,3,0.28141293226650427,0.25414444831018695,1.3606672141730074
Taiyuan,1,Cache,2,0.29911928162381224,0.263133778595348,0.9686759180657482
Taiyuan,13,switch,2,0.3005162780327432,0.2538566950377642,0.9663118919211522
Nandhang,7,Cache,3,0.29061621187465314,0.2886824192742233,1.3737895893446632
Nandhang,1,Load Balancer,2,0.28936295342754964,0.2884122550838794,0.9733325625534287
Nandhang,14,router,1,0.2703775383181815,0.25617835228711505,0.557966767181589
Kunming,7,router,3,0.3165484900646553,0.22650811870140367,1.3629169826298178
Kunming,1,IDS,2,0.3232041575962702,0.2536481641509638,0.9730556965241702
Kunming,14,Load Balancer,1,0.32115968255662736,0.255987599893382,0.5731441847350028
Yinchuan,7,switch,3,0.2768878738172579,0.2773176067412607,1.3662616441675557
Yinchuan,1,router,2,0.29058254205109896,0.31677071681749985,0.9822059776605796
Yinchuan,14,switch,1,0.2446492479031319,0.3025651029853286,0.5641643052665382
Chengdu,9,IDS,3,0.29025550604872946,0.2703862773421306,1.3681925350172581
Chengdu,2,Cache,2,0.2877600090221574,0.3260341778180867,0.9841382560520733
Chengdu,16,Firewall,1,0.2964520122615404,0.2784125144636382,0.5724593580175535
Chongqing,9,switch,3,0.48231950799391665,0.42369311357320094,1.4718037864701354
Chongqing,16,IDS,1,0.43047992905100607,0.45973290743412104,0.6670638509455381
International Link 2,10,Firewall,3,0.2694908051059772,0.32859831854116334,1.3794267370941422
International Link 2,2,switch,2,0.32451973243041654,0.2985209976334048,0.9869122190191464
International Link 2,16,Cache,1,0.2931619084913597,0.2991075752708449,0.5776808451286614
Xiamen,10,router,3,0.31734895536299107,0.2961884794845876,1.3840612304542739
Xiamen,4,Load Balancer,2,0.30431774586493004,0.30808218366874374,0.9837199788601022
Xiamen,16,switch,1,0.3208512955571876,0.3250593756800535,0.5937732013711723
Wuhan,12,Load Balancer,2,0.4481505776560118,0.2430566916153626,1.0073621807814124
Wuhan,5,Load Balancer,1,0.4185664170047885,0.2933360815397999,0.6135707495633764
Xining,12,router,2,0.3038702307569254,0.44549874690928953,1.0248106932998644
Xining,5,router,1,0.304444237774463,0.4189907428147095,0.6170304941767518
Hefei,2,Load Balancer,2,0.25817186084202276,0.32818663843653484,0.9759075497835673
Hefei,8,switch,2,0.24941979277756057,0.30754509176439243,0.967089465362586
Hefei,15,IDS,1,0.2935695768144217,0.3060472590936093,0.5798850507724093
Tianjin,8,router,2,0.26207505405203735,0.32950710128130095,0.9774746466000015
Tianjin,2,Firewall,2,0.2781453634195421,0.3035952514417379,0.9745221844583841
Tianjin,15,router,1,0.28328292347674117,0.29382895979262474,0.5731335649808098
Fuzhou,10,Load Balancer,3,0.288458231161188,0.3395739097855882,1.388409642284033
Fuzhou,16,router,1,0.3096522281219206,0.313737953183141,0.5870170543915185
Fuzhou,3,router,1,0.2707072300351691,0.31792937612763184,0.5765909818488403
Changsha,8,Firewall,2,0.3717193019764193,0.4685709489925844,1.0520870752907012
Changsha,15,Load Balancer,1,0.38679780167066763,0.39488206471898196,0.6345039599168949
Jinan,8,Load Balancer,2,0.4709770951418354,0.3678804698024091,1.0516572694832733
Jinan,15,Cache,1,0.45280973842233957,0.3381312281432944,0.6372822899696902
Harbin,9,router,3,0.28386032043006104,0.3123216571782278,1.378854593282487
Harbin,16,Load Balancer,1,0.2986791163905764,0.36447459218437356,0.598946112572485
Harbin,3,Firewall,1,0.2851902166211373,0.3118526733711809,0.5791128669976955
Shilazhuang,8,Cache,2,0.4492204479319768,0.3738184436150877,1.0469116674641195
Shilazhuang,15,Firewall,1,0.4181178721575491,0.39941243569945994,0.6452590923571027
Beijing,8,IDS,2,0.41281021138431095,0.4605976237338857,1.0620223505354591
Beijing,15,switch,1,0.3914290983622921,0.47266024753949876,0.6592268037705373
